County,FIPS Code,2017 ACS Population - High School Diploma or More as a percent of 2017 ACS Population - Population 25 and Over,Rank,,,,
"Stokes County, NC",37169,83.10%,2249,,,,
"Buena Vista Independent City, VA",51530,83.10%,2249,,,,
"Dallas County, AR",5039,83.10%,2249,,,,
"Cass County, IN",18017,83.10%,2249,,,,
"Alamosa County, CO",8003,83.10%,2249,,,,
"Livingston County, KY",21139,83.10%,2249,,,,
"Monroe County, WV",54063,83.10%,2249,,,,
"Johnson County, IL",17087,83.10%,2249,,,,
"Starke County, IN",18149,83.10%,2249,,,,
"Sequatchie County, TN",47153,83.10%,2249,,,,
"Love County, OK",40085,83.10%,2249,,,,
"Curry County, NM",35009,83.10%,2249,,,,
"Humphreys County, TN",47085,83.10%,2249,,,,
"Jackson County, OK",40065,83.10%,2249,,,,
"Etowah County, AL",1055,83.10%,2249,,,,
"Obion County, TN",47131,83.10%,2249,,,,
"Southampton County, VA",51175,83.00%,2265,,,,
"Richmond County, GA",13245,83.00%,2265,,,,
"Dodge County, GA",13091,83.00%,2265,,,,
"Hawkins County, TN",47073,83.00%,2265,,,,
"Hopkins County, TX",48223,83.00%,2265,,,,
"Lawrence County, MO",29109,83.00%,2265,,,,
"Monroe County, AL",1099,83.00%,2265,,,,
"Victoria County, TX",48469,83.00%,2265,,,,
"Smyth County, VA",51173,83.00%,2265,,,,
"Lincoln County, GA",13181,83.00%,2265,,,,
"Ashley County, AR",5003,83.00%,2265,,,,
"Eastland County, TX",48133,83.00%,2265,,,,
"Fayette County, TX",48149,83.00%,2265,,,,
"Passaic County, NJ",34031,83.00%,2265,,,,
"Childress County, TX",48075,83.00%,2265,,,,
"Dickson County, TN",47043,82.90%,2280,,,,
"Pushmataha County, OK",40127,82.90%,2280,,,,
"Washington County, KY",21229,82.90%,2280,,,,
"Mills County, TX",48333,82.90%,2280,,,,
"Russell County, AL",1113,82.90%,2280,,,,
"San Jacinto County, TX",48407,82.90%,2280,,,,
"Unicoi County, TN",47171,82.90%,2280,,,,
"West Baton Rouge Parish, LA",22121,82.90%,2280,,,,
"Chelan County, WA",53007,82.90%,2280,,,,
"Izard County, AR",5065,82.90%,2280,,,,
"Lawrence County, IL",17101,82.80%,2290,,,,
"Prairie County, AR",5117,82.80%,2290,,,,
"Lincoln County, TN",47103,82.80%,2290,,,,
"Greene County, TN",47059,82.80%,2290,,,,
"Jay County, IN",18075,82.80%,2290,,,,
"Atoka County, OK",40005,82.80%,2290,,,,
"Leon County, TX",48289,82.80%,2290,,,,
"Oscoda County, MI",26135,82.80%,2290,,,,
"McIntosh County, GA",13191,82.80%,2290,,,,
"Jackson County, GA",13157,82.80%,2290,,,,
"Sharp County, AR",5135,82.80%,2290,,,,
"Benton County, TN",47005,82.80%,2290,,,,
"Owen County, KY",21187,82.80%,2290,,,,
"Pendleton County, KY",21191,82.80%,2290,,,,
"Nacogdoches County, TX",48347,82.80%,2290,,,,
"Bartow County, GA",13015,82.70%,2305,,,,
"Murray County, OK",40099,82.70%,2305,,,,
"Montague County, TX",48337,82.70%,2305,,,,
"Clay County, GA",13061,82.70%,2305,,,,
"Lee County, TX",48287,82.70%,2305,,,,
"Mitchell County, NC",37121,82.70%,2305,,,,
"Medina County, TX",48325,82.70%,2305,,,,
"Sumter County, AL",1119,82.70%,2305,,,,
"Dougherty County, GA",13095,82.70%,2305,,,,
"White County, TN",47185,82.70%,2305,,,,
"Grant County, KY",21081,82.60%,2315,,,,
"Dinwiddie County, VA",51053,82.60%,2315,,,,
"Lake County, MI",26085,82.60%,2315,,,,
"De Soto Parish, LA",22031,82.60%,2315,,,,
"Wilkinson County, GA",13319,82.60%,2315,,,,
"Adams County, CO",8001,82.60%,2315,,,,
"Arkansas County, AR",5001,82.60%,2315,,,,
"Young County, TX",48503,82.60%,2315,,,,
"Trimble County, KY",21223,82.60%,2315,,,,
"Essex County, VA",51057,82.60%,2315,,,,
"Douglas County, IL",17041,82.60%,2315,,,,
"Sebastian County, AR",5131,82.60%,2315,,,,
"Switzerland County, IN",18155,82.60%,2315,,,,
"Navajo County, AZ",4017,82.60%,2315,,,,
"Prince Edward County, VA",51147,82.60%,2315,,,,
"Stone County, MS",28131,82.60%,2315,,,,
"Carroll County, GA",13045,82.60%,2315,,,,
"Fayette County, IL",17051,82.60%,2315,,,,
"Morgan County, AL",1103,82.50%,2333,,,,
"Hamilton County, KS",20075,82.50%,2333,,,,
"Fairfield County, SC",45039,82.50%,2333,,,,
"Carter County, TN",47019,82.50%,2333,,,,
"Rockingham County, VA",51165,82.50%,2333,,,,
"McDowell County, NC",37111,82.50%,2333,,,,
"Edwards County, KS",20047,82.50%,2333,,,,
"Thomas County, GA",13275,82.50%,2333,,,,
"Juniata County, PA",42067,82.50%,2333,,,,
"Randolph County, AR",5121,82.50%,2333,,,,
"Bacon County, GA",13005,82.50%,2333,,,,
"Washington County, AL",1129,82.40%,2344,,,,
"Pittsylvania County, VA",51143,82.40%,2344,,,,
"Harrison County, KY",21097,82.40%,2344,,,,
"Meigs County, TN",47121,82.40%,2344,,,,
"Ware County, GA",13299,82.40%,2344,,,,
"Greene County, GA",13133,82.40%,2344,,,,
"Knox County, TX",48275,82.30%,2350,,,,
"Lassen County, CA",6035,82.30%,2350,,,,
"Mississippi County, AR",5093,82.30%,2350,,,,
"Logan County, KY",21141,82.30%,2350,,,,
"Robertson County, TX",48395,82.30%,2350,,,,
"Okanogan County, WA",53047,82.30%,2350,,,,
"Madison County, GA",13195,82.30%,2350,,,,
"Texas County, MO",29215,82.30%,2350,,,,
"Manassas Park Independent City, VA",51685,82.30%,2350,,,,
"Rowan County, KY",21205,82.30%,2350,,,,
"Fayette County, WV",54019,82.20%,2360,,,,
"Plaquemines Parish, LA",22075,82.20%,2360,,,,
"Madison County, FL",12079,82.20%,2360,,,,
"Austin County, TX",48015,82.20%,2360,,,,
"Jefferson County, OK",40067,82.20%,2360,,,,
"Barren County, KY",21009,82.20%,2360,,,,
"Accomack County, VA",51001,82.20%,2360,,,,
"Le Flore County, OK",40079,82.20%,2360,,,,
"Jones County, MS",28067,82.20%,2360,,,,
"Tift County, GA",13277,82.20%,2360,,,,
"Valencia County, NM",35061,82.20%,2360,,,,
"Nueces County, TX",48355,82.20%,2360,,,,
"Rains County, TX",48379,82.10%,2372,,,,
"Yuba County, CA",6115,82.10%,2372,,,,
"Meade County, KS",20119,82.10%,2372,,,,
"Irwin County, GA",13155,82.10%,2372,,,,
"Bibb County, AL",1007,82.10%,2372,,,,
"Cullman County, AL",1043,82.10%,2372,,,,
"Carroll County, MS",28015,82.10%,2372,,,,
"Miller County, GA",13201,82.10%,2372,,,,
"Marion County, TX",48315,82.10%,2372,,,,
"Colorado County, TX",48089,82.10%,2372,,,,
"Covington County, AL",1039,82.00%,2382,,,,
"Tangipahoa Parish, LA",22105,82.00%,2382,,,,
"Baldwin County, GA",13009,82.00%,2382,,,,
"Clark, WI",55019,82.00%,2382,,,,
"Lee County, NC",37105,82.00%,2382,,,,
"Fayette County, IN",18041,82.00%,2382,,,,
"Throckmorton County, TX",48447,82.00%,2382,,,,
"Hamblen County, TN",47063,82.00%,2382,,,,
"Umatilla County, OR",41059,82.00%,2382,,,,
"Screven County, GA",13251,82.00%,2382,,,,
"Shannon County, MO",29203,81.90%,2392,,,,
"Coleman County, TX",48083,81.90%,2392,,,,
"Alexander County, NC",37003,81.90%,2392,,,,
"Franklin Independent City, VA",51620,81.90%,2392,,,,
"Crawford County, IN",18025,81.90%,2392,,,,
"Crittenden County, KY",21055,81.90%,2392,,,,
"Corson County, SD",46031,81.90%,2392,,,,
"Pierce County, GA",13229,81.90%,2392,,,,
"McCurtain County, OK",40089,81.90%,2392,,,,
"Haskell County, OK",40061,81.90%,2392,,,,
"Chilton County, AL",1021,81.80%,2402,,,,
"Somerset County, MD",24039,81.80%,2402,,,,
"Grant Parish, LA",22043,81.80%,2402,,,,
"Graham County, NC",37075,81.80%,2402,,,,
"Freestone County, TX",48161,81.80%,2402,,,,
"Jones County, NC",37103,81.80%,2402,,,,
"Covington County, MS",28031,81.70%,2408,,,,
"St. Bernard Parish, LA",22087,81.70%,2408,,,,
"Mellette County, SD",46095,81.70%,2408,,,,
"Douglas County, WA",53017,81.70%,2408,,,,
"Brantley County, GA",13025,81.70%,2408,,,,
"Milam County, TX",48331,81.70%,2408,,,,
"Stephens County, GA",13257,81.60%,2414,,,,
"Comanche County, TX",48093,81.60%,2414,,,,
"Macon County, AL",1087,81.60%,2414,,,,
"McPherson County, SD",46089,81.60%,2414,,,,
"Pendleton County, WV",54071,81.60%,2414,,,,
"Houston County, TX",48225,81.60%,2414,,,,
"Barry County, MO",29009,81.60%,2414,,,,
"Del Norte County, CA",6015,81.60%,2414,,,,
"Hardin County, IL",17069,81.60%,2414,,,,
"Mecklenburg County, VA",51117,81.60%,2414,,,,
"Louisa County, IA",19115,81.50%,2424,,,,
"West Feliciana Parish, LA",22125,81.50%,2424,,,,
"Hampton County, SC",45049,81.50%,2424,,,,
"Edgefield County, SC",45037,81.50%,2424,,,,
"Cumberland County, KY",21057,81.50%,2424,,,,
"Cumberland County, VA",51049,81.50%,2424,,,,
"Clarke County, AL",1025,81.50%,2424,,,,
"Sequoyah County, OK",40135,81.50%,2424,,,,
"Red River Parish, LA",22081,81.50%,2424,,,,
"Choctaw County, MS",28019,81.40%,2433,,,,
"Lawrence County, MS",28077,81.40%,2433,,,,
"Gilmer County, WV",54021,81.40%,2433,,,,
"Marshall County, OK",40095,81.40%,2433,,,,
"Bradley County, AR",5011,81.40%,2433,,,,
"Morgan County, TN",47129,81.40%,2433,,,,
"Stoddard County, MO",29207,81.40%,2433,,,,
"Pulaski County, KY",21199,81.40%,2433,,,,
"Ritchie County, WV",54085,81.40%,2433,,,,
"Burleson County, TX",48051,81.40%,2433,,,,
"Crittenden County, AR",5035,81.40%,2433,,,,
"Rutherford County, NC",37161,81.40%,2433,,,,
"Jackson County, AL",1071,81.40%,2433,,,,
"Lipscomb County, TX",48295,81.40%,2433,,,,
"Charlotte County, VA",51037,81.40%,2433,,,,
"Darlington County, SC",45031,81.40%,2433,,,,
"Ben Hill County, GA",13017,81.40%,2433,,,,
"Franklin County, FL",12037,81.40%,2433,,,,
"Walker County, GA",13295,81.30%,2451,,,,
"Bedford County, TN",47003,81.30%,2451,,,,
"Howard County, AR",5061,81.30%,2451,,,,
"Stevens County, KS",20189,81.30%,2451,,,,
"Montgomery County, GA",13209,81.30%,2451,,,,
"Webster Parish, LA",22119,81.30%,2451,,,,
"Prowers County, CO",8099,81.30%,2451,,,,
"Schley County, GA",13249,81.30%,2451,,,,
"Manassas Independent City, VA",51683,81.30%,2451,,,,
"Dallas County, AL",1047,81.30%,2451,,,,
"Marion County, TN",47115,81.30%,2451,,,,
"Wayne County, GA",13305,81.30%,2451,,,,
"Dallas County, MO",29059,81.20%,2463,,,,
"Rockingham County, NC",37157,81.20%,2463,,,,
"Hart County, GA",13147,81.20%,2463,,,,
"McDuffie County, GA",13189,81.20%,2463,,,,
"Gilmer County, GA",13123,81.10%,2467,,,,
"Hill County, TX",48217,81.10%,2467,,,,
"Angelina County, TX",48005,81.10%,2467,,,,
"Malheur County, OR",41045,81.10%,2467,,,,
"Northampton County, VA",51131,81.10%,2467,,,,
"Union County, SC",45087,81.10%,2467,,,,
"St. Clair County, MO",29185,81.10%,2467,,,,
"Queens County, NY",36081,81.10%,2467,,,,
"Grayson County, VA",51077,81.10%,2467,,,,
"Riverside County, CA",6065,81.10%,2467,,,,
"Newton County, AR",5101,81.10%,2467,,,,
"Madison County, MO",29123,81.10%,2467,,,,
"Hopewell Independent City, VA",51670,81.10%,2467,,,,
"Gallatin County, KY",21077,81.10%,2467,,,,
"Hale County, AL",1065,81.10%,2467,,,,
"Butler County, AL",1013,81.10%,2467,,,,
"Pike County, AL",1109,81.10%,2467,,,,
"Gallia County, OH",39053,81.00%,2484,,,,
"Carroll County, TN",47017,81.00%,2484,,,,
"Cassia County, ID",16031,81.00%,2484,,,,
"Miami-Dade County, FL",12086,81.00%,2484,,,,
"Henderson County, TN",47077,81.00%,2484,,,,
"Escambia County, AL",1053,81.00%,2484,,,,
"Marion County, KY",21155,81.00%,2484,,,,
"Yalobusha County, MS",28161,81.00%,2484,,,,
"Page County, VA",51139,81.00%,2484,,,,
"Martinsville Independent City, VA",51690,80.90%,2493,,,,
"Carroll County, VA",51035,80.90%,2493,,,,
"Webster County, GA",13307,80.90%,2493,,,,
"Terrell County, TX",48443,80.90%,2493,,,,
"Crisp County, GA",13081,80.90%,2493,,,,
"Jefferson County, FL",12065,80.90%,2493,,,,
"East Feliciana Parish, LA",22037,80.90%,2493,,,,
"Franklin County, AR",5047,80.90%,2493,,,,
"Pershing County, NV",32027,80.90%,2493,,,,
"Harper County, OK",40059,80.90%,2493,,,,
"Chambers County, AL",1017,80.90%,2493,,,,
"Choctaw County, OK",40023,80.90%,2493,,,,
"Haywood County, TN",47075,80.80%,2505,,,,
"Grainger County, TN",47057,80.80%,2505,,,,
"Elkhart County, IN",18039,80.80%,2505,,,,
"Hartley County, TX",48205,80.80%,2505,,,,
"Tallapoosa County, AL",1123,80.80%,2505,,,,
"Lawrence County, TN",47099,80.80%,2505,,,,
"Grant County, WV",54023,80.80%,2505,,,,
"Van Buren County, TN",47175,80.80%,2505,,,,
"DeWitt County, TX",48123,80.80%,2505,,,,
"Alcorn County, MS",28003,80.80%,2505,,,,
"Amelia County, VA",51007,80.80%,2505,,,,
"Bastrop County, TX",48021,80.70%,2516,,,,
"Perry County, MS",28111,80.70%,2516,,,,
"Iron County, MO",29093,80.70%,2516,,,,
"Wilcox County, GA",13315,80.70%,2516,,,,
"Northwest Arctic Borough, AK",2188,80.70%,2516,,,,
"Pike County, MS",28113,80.70%,2516,,,,
"Kings County, NY",36047,80.70%,2516,,,,
"Marion County, AL",1093,80.70%,2516,,,,
"Lafayette County, AR",5073,80.70%,2516,,,,
"Wilson County, NC",37195,80.70%,2516,,,,
"Cibola County, NM",35006,80.70%,2516,,,,
"Toombs County, GA",13279,80.60%,2527,,,,
"Randolph County, NC",37151,80.60%,2527,,,,
"Briscoe County, TX",48045,80.60%,2527,,,,
"Henry County, AL",1067,80.60%,2527,,,,
"Columbus County, NC",37047,80.60%,2527,,,,
"Braxton County, WV",54007,80.60%,2527,,,,
"Petersburg Independent City, VA",51730,80.60%,2527,,,,
"Decatur County, GA",13087,80.60%,2527,,,,
"Hardy County, WV",54031,80.60%,2527,,,,
"Hughes County, OK",40063,80.60%,2527,,,,
"Floyd County, GA",13115,80.60%,2527,,,,
"Spalding County, GA",13255,80.60%,2527,,,,
"Danville Independent City, VA",51590,80.50%,2539,,,,
"Avery County, NC",37011,80.50%,2539,,,,
"Harris County, TX",48201,80.50%,2539,,,,
"San Miguel County, NM",35047,80.50%,2539,,,,
"Saguache County, CO",8109,80.50%,2539,,,,
"Morgan County, CO",8087,80.50%,2539,,,,
"Richmond County, VA",51159,80.50%,2539,,,,
"Brooks County, GA",13027,80.50%,2539,,,,
"Talladega County, AL",1121,80.50%,2539,,,,
"Tate County, MS",28137,80.50%,2539,,,,
"Polk County, TN",47139,80.50%,2539,,,,
"Calhoun County, TX",48057,80.50%,2539,,,,
"Burke County, NC",37023,80.50%,2539,,,,
"Hampshire County, WV",54027,80.50%,2539,,,,
"Washington County, FL",12133,80.50%,2539,,,,
"Newberry County, SC",45071,80.50%,2539,,,,
"Santa Barbara County, CA",6083,80.40%,2555,,,,
"Nolan County, TX",48353,80.40%,2555,,,,
"Breckinridge County, KY",21027,80.40%,2555,,,,
"Grayson County, KY",21085,80.40%,2555,,,,
"Wright County, MO",29229,80.40%,2555,,,,
"Douglas County, MO",29067,80.40%,2555,,,,
"Limestone County, TX",48293,80.40%,2555,,,,
"Swain County, NC",37173,80.40%,2555,,,,
"Cross County, AR",5037,80.40%,2555,,,,
"Gray County, TX",48179,80.40%,2555,,,,
"Early County, GA",13099,80.40%,2555,,,,
"Pike County, OH",39131,80.40%,2555,,,,
"Heard County, GA",13149,80.30%,2567,,,,
"Garrard County, KY",21079,80.30%,2567,,,,
"Jack County, TX",48237,80.30%,2567,,,,
"Dickens County, TX",48125,80.30%,2567,,,,
"Lincoln County, AR",5079,80.30%,2567,,,,
"Morehouse Parish, LA",22067,80.30%,2567,,,,
"McIntosh County, ND",38051,80.20%,2573,,,,
"Montgomery County, MS",28097,80.20%,2573,,,,
"Doddridge County, WV",54017,80.20%,2573,,,,
"Chicot County, AR",5017,80.20%,2573,,,,
"Suwannee County, FL",12121,80.20%,2573,,,,
"Bethel Borough, AK",2050,80.20%,2573,,,,
"Anderson County, TX",48001,80.20%,2573,,,,
"Richmond County, NC",37153,80.20%,2573,,,,
"King County, TX",48269,80.20%,2573,,,,
"Cameron Parish, LA",22023,80.20%,2573,,,,
"Laurens County, SC",45059,80.20%,2573,,,,
"Smith County, MS",28129,80.20%,2573,,,,
"Hardin County, TN",47071,80.20%,2573,,,,
"McNairy County, TN",47109,80.20%,2573,,,,
"Walthall County, MS",28147,80.20%,2573,,,,
"Chester County, SC",45023,80.10%,2588,,,,
"Lenoir County, NC",37107,80.10%,2588,,,,
"Hempstead County, AR",5057,80.10%,2588,,,,
"Choctaw County, AL",1023,80.10%,2588,,,,
"Williamsburg County, SC",45089,80.10%,2588,,,,
"Warren County, NC",37185,80.10%,2588,,,,
"Anson County, NC",37007,80.10%,2588,,,,
"Pulaski County, GA",13235,80.10%,2588,,,,
"Berrien County, GA",13019,80.10%,2588,,,,
"Walker County, AL",1127,80.00%,2597,,,,
"St. Martin Parish, LA",22099,80.00%,2597,,,,
"San Augustine County, TX",48405,80.00%,2597,,,,
"Clay County, MS",28025,80.00%,2597,,,,
"Perry County, AL",1105,80.00%,2597,,,,
"Burke County, GA",13033,80.00%,2597,,,,
"Kemper County, MS",28069,80.00%,2597,,,,
"Marshall County, AL",1095,80.00%,2597,,,,
"Harmon County, OK",40057,80.00%,2597,,,,
"Hertford County, NC",37091,80.00%,2597,,,,
"Ohio County, KY",21183,79.90%,2607,,,,
"Winn Parish, LA",22127,79.90%,2607,,,,
"Muhlenberg County, KY",21177,79.90%,2607,,,,
"McCormick County, SC",45065,79.90%,2607,,,,
"Emanuel County, GA",13107,79.90%,2607,,,,
"Vinton County, OH",39163,79.90%,2607,,,,
"Scott County, VA",51169,79.90%,2607,,,,
"Lanier County, GA",13173,79.90%,2607,,,,
"Monroe County, MS",28095,79.90%,2607,,,,
"Forest County, PA",42053,79.90%,2607,,,,
"Pickens County, AL",1107,79.80%,2617,,,,
"Trousdale County, TN",47169,79.80%,2617,,,,
"Henry County, VA",51089,79.80%,2617,,,,
"Howard County, TX",48227,79.80%,2617,,,,
"Refugio County, TX",48391,79.80%,2617,,,,
"Barnwell County, SC",45011,79.80%,2617,,,,
"Blount County, AL",1009,79.80%,2617,,,,
"Real County, TX",48385,79.80%,2617,,,,
"Bollinger County, MO",29017,79.80%,2617,,,,
"St. Mary Parish, LA",22101,79.80%,2617,,,,
"Roane County, WV",54087,79.80%,2617,,,,
"Liberty County, FL",12077,79.80%,2617,,,,
"Halifax County, VA",51083,79.70%,2629,,,,
"Clarendon County, SC",45027,79.70%,2629,,,,
"Loving County, TX",48301,79.70%,2629,,,,
"Tazewell County, VA",51185,79.70%,2629,,,,
"Johnson County, KY",21115,79.70%,2629,,,,
"Gadsden County, FL",12039,79.70%,2629,,,,
"Jackson County, FL",12063,79.70%,2629,,,,
"Hood River County, OR",41027,79.60%,2636,,,,
"Fayette County, AL",1057,79.60%,2636,,,,
"Madison County, AR",5087,79.60%,2636,,,,
"Jeff Davis County, TX",48243,79.60%,2636,,,,
"Dent County, MO",29065,79.60%,2636,,,,
"Allen Parish, LA",22003,79.60%,2636,,,,
"Rusk County, TX",48401,79.60%,2636,,,,
"Overton County, TN",47133,79.60%,2636,,,,
"Putnam County, FL",12107,79.60%,2636,,,,
"Allen County, KY",21003,79.50%,2645,,,,
"Adams County, MS",28001,79.50%,2645,,,,
"Johnson County, AR",5071,79.50%,2645,,,,
"Lamar County, AL",1075,79.50%,2645,,,,
"Poinsett County, AR",5111,79.50%,2645,,,,
"Cherokee County, AL",1019,79.50%,2645,,,,
"Taylor County, FL",12123,79.50%,2645,,,,
"Bennett County, SD",46007,79.50%,2645,,,,
"Roosevelt County, NM",35041,79.50%,2645,,,,
"Buena Vista County, IA",19021,79.40%,2654,,,,
"Adair County, OK",40001,79.40%,2654,,,,
"Scotland County, MO",29199,79.40%,2654,,,,
"Nicholas County, KY",21181,79.40%,2654,,,,
"Carter County, MO",29035,79.40%,2654,,,,
"Marshall County, MS",28093,79.40%,2654,,,,
"Richland Parish, LA",22083,79.40%,2654,,,,
"George County, MS",28039,79.40%,2654,,,,
"Webster County, KY",21233,79.40%,2654,,,,
"Hyde County, NC",37095,79.40%,2654,,,,
"Claiborne Parish, LA",22027,79.40%,2654,,,,
"Crenshaw County, AL",1041,79.30%,2665,,,,
"Yadkin County, NC",37197,79.30%,2665,,,,
"Caldwell County, TX",48055,79.30%,2665,,,,
"Warren County, TN",47177,79.30%,2665,,,,
"Simpson County, MS",28127,79.30%,2665,,,,
"Cherokee County, TX",48073,79.20%,2670,,,,
"Wilbarger County, TX",48487,79.20%,2670,,,,
"Talbot County, GA",13263,79.20%,2670,,,,
"Bladen County, NC",37017,79.20%,2670,,,,
"Dona Ana County, NM",35013,79.20%,2670,,,,
"Crockett County, TN",47033,79.20%,2670,,,,
"San Bernardino County, CA",6071,79.20%,2670,,,,
"Lincoln County, WV",54043,79.20%,2670,,,,
"Edmonson County, KY",21061,79.20%,2670,,,,
"Upson County, GA",13293,79.20%,2670,,,,
"Jackson Parish, LA",22049,79.10%,2680,,,,
"Dixie County, FL",12029,79.10%,2680,,,,
"Wilcox County, AL",1131,79.10%,2680,,,,
"Boone County, WV",54005,79.10%,2680,,,,
"Dade County, GA",13083,79.10%,2680,,,,
"Tishomingo County, MS",28141,79.10%,2680,,,,
"DeKalb County, TN",47041,79.10%,2680,,,,
"San Benito County, CA",6069,79.10%,2680,,,,
"Whitley County, KY",21235,79.10%,2680,,,,
"Winston County, MS",28159,79.10%,2680,,,,
"Menard County, TX",48327,79.10%,2680,,,,
"Wheeler County, TX",48483,79.00%,2691,,,,
"Grimes County, TX",48185,79.00%,2691,,,,
"Conecuh County, AL",1035,79.00%,2691,,,,
"Geneva County, AL",1061,79.00%,2691,,,,
"Jefferson Davis Parish, LA",22053,79.00%,2691,,,,
"Haralson County, GA",13143,79.00%,2691,,,,
"Cocke County, TN",47029,79.00%,2691,,,,
"Adams County, OH",39001,79.00%,2691,,,,
"Fulton County, KY",21075,79.00%,2691,,,,
"Wayne County, TN",47181,79.00%,2691,,,,
"Clarke County, MS",28023,78.90%,2701,,,,
"Bamberg County, SC",45009,78.90%,2701,,,,
"McCulloch County, TX",48307,78.90%,2701,,,,
"Hidalgo County, NM",35023,78.90%,2701,,,,
"Carter County, KY",21043,78.90%,2701,,,,
"Macon County, TN",47111,78.90%,2701,,,,
"Wharton County, TX",48481,78.90%,2701,,,,
"Powell County, KY",21197,78.90%,2701,,,,
"Yell County, AR",5149,78.90%,2701,,,,
"Amite County, MS",28005,78.90%,2701,,,,
"Laurel County, KY",21125,78.90%,2701,,,,
"Alleghany County, NC",37005,78.90%,2701,,,,
"Pointe Coupee Parish, LA",22077,78.80%,2713,,,,
"Jasper County, SC",45053,78.80%,2713,,,,
"Washington County, MS",28151,78.80%,2713,,,,
"Okfuskee County, OK",40107,78.80%,2713,,,,
"Montgomery County, AR",5097,78.80%,2713,,,,
"Wyandotte County, KS",20209,78.80%,2713,,,,
"Grenada County, MS",28043,78.80%,2713,,,,
"Russell County, VA",51167,78.80%,2713,,,,
"Crawford County, IA",19047,78.70%,2721,,,,
"Cook County, GA",13075,78.70%,2721,,,,
"St. Francis County, AR",5123,78.70%,2721,,,,
"Brunswick County, VA",51025,78.70%,2721,,,,
"Marion County, SC",45067,78.70%,2721,,,,
"Washington County, GA",13303,78.70%,2721,,,,
"Jenkins County, GA",13165,78.70%,2721,,,,
"Hickman County, TN",47081,78.70%,2721,,,,
"Caldwell County, NC",37027,78.70%,2721,,,,
"Patrick County, VA",51141,78.70%,2721,,,,
"Lincoln County, KY",21137,78.70%,2721,,,,
"Tunica County, MS",28143,78.70%,2721,,,,
"Ripley County, MO",29181,78.70%,2721,,,,
"Sutter County, CA",6101,78.70%,2721,,,,
"Sumter County, GA",13261,78.70%,2721,,,,
"Wayne County, WV",54099,78.60%,2736,,,,
"Claiborne County, TN",47025,78.60%,2736,,,,
"Logan County, WV",54045,78.60%,2736,,,,
"Ward County, TX",48475,78.60%,2736,,,,
"Elbert County, GA",13105,78.60%,2736,,,,
"Wilkes County, GA",13317,78.60%,2736,,,,
"Apache County, AZ",4001,78.60%,2736,,,,
"Randolph County, AL",1111,78.60%,2736,,,,
"McDonald County, MO",29119,78.50%,2744,,,,
"Clay County, AR",5021,78.50%,2744,,,,
"Edgecombe County, NC",37065,78.50%,2744,,,,
"Iberia Parish, LA",22045,78.50%,2744,,,,
"Copiah County, MS",28029,78.50%,2744,,,,
"Runnels County, TX",48399,78.50%,2744,,,,
"Live Oak County, TX",48297,78.50%,2744,,,,
"Alexander County, IL",17003,78.50%,2744,,,,
"Abbeville County, SC",45001,78.50%,2744,,,,
"Coahoma County, MS",28027,78.40%,2753,,,,
"Buffalo County, SD",46017,78.40%,2753,,,,
"San Joaquin County, CA",6077,78.40%,2753,,,,
"Hardeman County, TN",47069,78.40%,2753,,,,
"Scotland County, NC",37165,78.40%,2753,,,,
"Wyoming County, WV",54109,78.40%,2753,,,,
"Union County, MS",28145,78.30%,2759,,,,
"Waller County, TX",48473,78.30%,2759,,,,
"Dallas County, TX",48113,78.30%,2759,,,,
"Wilkes County, NC",37193,78.30%,2759,,,,
"Coffee County, GA",13069,78.30%,2759,,,,
"Leake County, MS",28079,78.30%,2759,,,,
"Cherokee County, SC",45021,78.30%,2759,,,,
"Terrebonne Parish, LA",22109,78.30%,2759,,,,
"Union County, NM",35059,78.30%,2759,,,,
"Surry County, NC",37171,78.30%,2759,,,,
"Chaves County, NM",35005,78.30%,2759,,,,
"Madison County, TX",48313,78.30%,2759,,,,
"Leflore County, MS",28083,78.20%,2771,,,,
"Prentiss County, MS",28117,78.20%,2771,,,,
"Neshoba County, MS",28099,78.20%,2771,,,,
"San Patricio County, TX",48409,78.20%,2771,,,,
"Upton County, TX",48461,78.20%,2771,,,,
"Hall County, GA",13139,78.20%,2771,,,,
"Vance County, NC",37181,78.20%,2771,,,,
"Bradford County, FL",12007,78.20%,2771,,,,
"Monroe County, TN",47123,78.20%,2771,,,,
"Los Angeles County, CA",6037,78.20%,2771,,,,
"Kusilvak, AK",2158,78.20%,2771,,,,
"Charles City County, VA",51036,78.10%,2782,,,,
"Worth County, GA",13321,78.10%,2782,,,,
"Northampton County, NC",37131,78.10%,2782,,,,
"Polk County, TX",48373,78.10%,2782,,,,
"Scott County, TN",47151,78.10%,2782,,,,
"Kearny County, KS",20093,78.10%,2782,,,,
"Lincoln County, ID",16063,78.10%,2782,,,,
"Scurry County, TX",48415,78.00%,2789,,,,
"Habersham County, GA",13137,78.00%,2789,,,,
"Lawrence County, AL",1079,78.00%,2789,,,,
"Scott County, AR",5127,78.00%,2789,,,,
"Saluda County, SC",45081,78.00%,2789,,,,
"Todd County, SD",46121,78.00%,2789,,,,
"Montgomery County, NC",37123,77.90%,2795,,,,
"Marion County, MS",28091,77.90%,2795,,,,
"Gooding County, ID",16047,77.90%,2795,,,,
"Oglethorpe County, GA",13221,77.90%,2795,,,,
"Menifee County, KY",21165,77.90%,2795,,,,
"Cumberland County, NJ",34011,77.90%,2795,,,,
